bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,clim_air_temp_max,clim_air_temp_mean,clim_air_temp_min,clim_annual_rainfall,clim_drought_index,clim_evap_p,clim_evap_r,clim_R_factor,clim_rain_frl,clim_rain_her,clim_rain_som,clim_rain_win,clim_soil_moisture,clim_soil_temperature,clim_veg_begin,clim_veg_end,clim_water_balance,DBG_buek250_mg,DBG_FK10dm1000_250,DBG_FOBIP3dm1000_250,DBG_FSMCu3dm1000_250,DBG_gmk1000_250,DBG_GWS1000_250,DBG_humus1000_ob,DBG_ka1000_250,DBG_LD1000_250,DBG_lkwe1000_250,DBG_NFKWe1000_250,DBG_OAAcker1000_250,DBG_pegwasser1000_250_v10,DBG_pegwind1000_250_v10,DBG_PhysGru1000_250,DBG_sqr1000_250_v10,DBG_swr1000_250,DBG_thlf1000_lea,DBG_we1000_250,DBG_WVPFL1000_250,DEM,DEM_aspect,DEM_CaAre,DEM_CaSlo,DEM_ConvergenceIndex,DEM_CONVEXITY,DEM_DEMSTDDEV,DEM_DEVMEAN,DEM_DiffuseInsolation,DEM_DirectInsolation,DEM_DownslopeDistanceGradient,DEM_Flowaccu,DEM_FlowDir,DEM_FlowPathLength,DEM_FlowWidth,DEM_GCURV,DEM_LSFactor,DEM_MCA,DEM_MidSlope,DEM_MRVBF,DEM_NegOpen,DEM_NormHight,DEM_pl_curv,DEM_PosOpen,DEM_pr_curv,DEM_slope,DEM_SlopeLength,DEM_Slophight,DEM_Standhight,DEM_Sur_area,DEM_Tcurv,DEM_TRI,DEM_Valleydepth,DEM_WindEffect,dis_1,dis_2,dis_3,dis_4,dis_5,dis_6,dis_7,dis_8,dis_9,ISRIC_SoilBD,ISRIC_SoilClay,ISRIC_SoilpH,ISRIC_SoilSand,ISRIC_SoilSOC,ISRIC_SoilTexture,ISRIC_SoilUSDA,ISRIC_SoilWater,L8_AFVI,L8_ARVI,L8_B10,L8_B11,L8_B2,L8_B3,L8_B4,L8_B5,L8_B6,L8_B7,L8_CAR,L8_CLG,L8_CSI,L8_EVI,L8_FE2,L8_FE3,L8_FEO,L8_FES,L8_GARV,L8_GVMI,L8_NDVI,L8_SBL,L8_SCI,L8_SLAI,L8_SR,Land_CORINE,Land_Forest,MODIS_AFVI,MODIS_ARVI,MODIS_BRI,MODIS_CLG,MODIS_CSI,MODIS_EVI,MODIS_FE2,MODIS_FE3,MODIS_FEO,MODIS_FES,MODIS_GARV,MODIS_GVMI,MODIS_NDVI,MODIS_SBL,MODIS_SCI,MODIS_SLAI,MODIS_SR,MODIS_sur_refl_b01,MODIS_sur_refl_b02,MODIS_sur_refl_b03,MODIS_sur_refl_b04,MODIS_sur_refl_b05,MODIS_sur_refl_b06,MODIS_sur_refl_b07,S2_AFVI,S2_ARVI,S2_B11,S2_B12,S2_B2,S2_B3,S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,S2_B8A,S2_BRI,S2_CLG,S2_CSI,S2_EVI,S2_FE2,S2_FE3,S2_FEO,S2_FES,S2_GARV,S2_GVMI,S2_NDVI,S2_SBL,S2_SCI,S2_SLAI,S2_SR,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl,OC,CaCO3,N,P,K,CEC,GPS_LAT,GPS_LONG
85,79,29,6911,232,-39,271,172,4,172,-6,614,71,34,24,207,112,207,128,133.9519958,96,50,672.1200562,2.738993406,560.6168823,377.1854248,105.0793839,143.0411682,153.0406647,236.3282166,142.2068329,78.11811066,108.487999,89,309,52.58739853,109,243.2502594,0.337484658,5,136.1530304,4.650061607,2,20.62086868,1.553860426,10.04641819,133.5894928,4.134046555,0.281892568,3,15.27521515,54.40118027,193.7049103,1.695371628,7.389704704,552.5498047,162,0.309206396,1.77E-07,1.420513153,0.464389324,37.48307037,0.733742237,0.016550504,0.635444522,0,1.570752382,7.63E-07,128,0.000418632,0.000311974,-4027560.25,0.394501209,2.25E-07,0.853530526,0,0.486910224,0.073234737,0,0.382329971,1376891904,236508.4219,0.000206465,0.342591912,-180.1790314,0.000134747,4.39942E+12,0.605566621,4.33540535,1.246230245,520752.4688,271185.9688,151884.6406,331940.375,527618.1875,633647.25,603366.5625,552204.875,347811.2188,131.2506866,14.18525791,60.69881439,42.40187454,3.987673521,7.072514057,116.0400009,30.45675278,2853.57959,0.532793581,2956.000488,2936.999512,444.0180969,727.0188599,693.0316772,2853.931396,2346.939453,1449.977417,1.006469488,2.925525904,0.218999714,0.478264809,1.557104349,0.953251302,0.822353125,0.617816269,0.790386081,0.326213896,0.609225273,-3743.812988,-0.039058484,0.703858137,4.118038654,18,0,4323.06543,-0.033523612,3377.689941,0.265372396,0.001001429,0.077639632,1.659744263,0.983791649,0.924819469,0.695561588,0.985274076,0.21709387,0.125193492,-3743.812988,-0.039058484,0.703858137,1.286219835,3361.357178,4323.444336,3354.631592,3416.736816,3998.405518,2781.137207,1743.365845,-0.054647237,0.460264802,0.216101721,0.119404823,0.110998243,0.100395128,0.08239726,0.115996055,0.212383941,0.251268238,0.242789537,0.281576246,0.098639235,1.804680347,-0.147888571,0.134641379,1.642486572,0.820729673,0.767471433,0.552539885,1.374897718,0.464837283,0.547234893,0.083822817,-0.131560013,1.395308971,3.417301178,11,8,10,82,5.84,5.2,16.2,0,1.5,30,123.5,5.6,51.30289,14.92258
80,79,29,6843,224,-43,267,166,0,166,-10,622,73,34,26,214,112,214,125,126.6947556,90.4528656,46.48336029,678.3595581,2.870155573,540.7642822,378.9024353,91.7137146,147.8167267,148.3659668,242.7998199,142.2002563,81.48464203,104.9734192,92.61649323,308.0158386,80.12379456,302,359.3700867,1,5,3288.688232,6,2,0,1.588235259,4.320000172,249.4799957,30.26086998,23.46273804,1,20,89.1219101,164.4034271,1.350000024,11,631.7312622,268,-0.111550868,4.82E-07,1.531558633,-6.103783131,38.98942947,1.429764509,-0.128076568,0.572690964,0,1.570733309,9.06E-07,32,0.001197557,0.00034953,-1196712.75,0.597999215,4.83E-07,0.550377727,0,0.010625711,0.224811137,-344222976,0.385378808,-344222976,528848.9375,0.000460435,2.07986784,-100.0920486,0.000381123,6.54641E+11,1.021979928,7.171754837,1.145058632,537359.875,292829.25,172328.8125,307489.9063,506514.625,616189.375,600051.3125,560440.25,341226.1875,121.8659744,14.0895443,63.14345551,42.13868332,4.001193523,7.031514645,23.34455681,26.67055511,3123.876221,0.520760238,2944.993896,2918.999023,435.8558655,791.6672363,783.6240234,3124.144043,1730.696411,1165.596802,1.008905411,2.946284294,0.285177439,0.467557728,1.383357286,0.98984015,0.553974569,0.673484266,0.740495265,0.456571281,0.598940372,-3760.137695,-0.06789095,0.744788945,3.986789465,12,1.075381637,4765.946777,-0.009313457,3574.326416,0.317345858,0.000129245,0.091292813,1.615704894,0.981915951,0.872850418,0.684295654,0.99840188,0.252129078,0.145885929,-3760.137695,-0.06789095,0.744788945,1.341607571,3552.6875,4766.3125,3551.769287,3618.117676,4160.277832,2846.860107,1807.735352,0.023936331,0.445396662,0.183237761,0.103048965,0.113946483,0.103796087,0.093039431,0.127450168,0.229393512,0.285033107,0.282513976,0.306723565,0.103945121,1.955059052,-0.101007119,0.139661178,1.451580882,0.896367431,0.597403586,0.562378407,1.229722023,0.535464942,0.534527063,0.083428934,-0.252031744,1.564210653,3.296705008,4,14,80,6,7.42,6.72,13.4,1,1.5,51.7,181.1,12.3,51.07144,14.86932
77,78,29,6837,220,-46,266,163,-3,163,-13,616,75,33,28,217,108,217,119,123.9497299,87.88175964,43.92657852,718.9840088,3.248188972,531.2216187,378.6308289,89.79020691,155.203186,158.2329865,252.1368408,156.3002777,82.84854126,103.2925262,94.0788269,308,128.2304993,302,344.3946838,1,5,3277.714355,6,2,0,1.799741983,2.678979635,231.331604,30.93575478,14.46417713,1,20,61.67869949,150.8753357,1.470000029,10.53862286,651.4476318,320,-0.782277882,3.05E-07,1.544842601,-5.432770252,40.57941437,1.6607548,-0.173692495,0.593007088,0,1.570736885,8.78E-07,64,0.001011338,0.000329489,1743805.375,0.508575678,3.07E-07,0.023441138,0,0.008919824,0.511720598,0,0.588448763,2753783808,697291.1875,0.0004579,9.925497055,64.0714798,0.000538989,1.42309E+12,1.185329914,9.470825195,1.32454443,543147.125,300851.1563,180043.6563,297565.5938,497661.375,608614.8125,597854.375,562822.125,337974.6875,123.8225098,12.52765751,51.94144058,38.09041595,4.999283314,7.200484753,246.0028839,30.91750526,2253.48584,0.742944002,2916.999023,2895.500977,199.5200348,362.5852051,266.032135,2253.700928,935.1381836,446.6795044,1.007424593,5.215644836,0.142867118,0.687019229,1.561135769,0.733709276,0.414934456,0.47766149,0.932048261,0.669172823,0.788841009,-3574.191406,-0.032007601,0.718922853,8.471536636,23.42846298,86.67664337,4191.826172,-0.029389806,3360.274902,0.223100305,-0.026752267,0.079953164,1.67824769,0.944121122,0.937970221,0.660001338,1.606357455,0.235291079,0.128726661,-3574.191406,-0.032007601,0.718922853,1.295490861,3236,4192.208496,3413.899902,3427.526367,3932.166748,2595.235352,1582.625,0.012468949,0.567768157,0.09723977,0.046110984,0.093109548,0.075109169,0.050718412,0.073922388,0.170532942,0.212631777,0.208344385,0.230361953,0.075018071,2.067028284,-0.294735014,0.132863984,1.68107295,0.67526257,0.422117323,0.474198818,1.751205325,0.666504502,0.639118075,0.108637765,-0.406353712,2.379049778,4.541978836,8,14,82,4,4.18,3.63,30.4,0,1.5,12.3,36.2,8.3,50.98255,14.83139
82,79,29,6839,227,-41,268,168,3,168,-7,614,72,34,25,210,111,210,124,128.7203064,92.64612579,47.62821198,691.15979,2.920091867,545.4254761,377.5924683,103.6751175,150.8551483,150.5605469,248.0404205,144.2770386,80.71604919,105.835907,91.4254303,308,78.35826111,92.9548645,346.7624207,0.99999994,5,3203.221436,6,2,0,1.624312162,4.291158199,199.9181671,32.47213364,22.42312813,1,19.99991226,70.98197174,180.2711334,1.732453942,10.07691479,600.395752,233,0.367319375,1.45E-06,1.543637753,-5.122959614,36.02865982,1.425151587,-0.099404447,0.585259199,2.34E-07,1.570711613,2.39E-06,8,0.002799944,0.00035178,-5550343.5,0.895026505,1.48E-06,0.808293283,0,0.113445543,0.095853359,-344222976,0.383157134,-344222976,459169.4375,0.001218851,1.489348173,-164.9699097,0.000381123,5.38368E+12,0.958764553,14.04842949,1.11299777,528919.625,284784.2813,164158.6875,310412.25,507128.3438,615013.0625,594267.1875,552549.75,336203.625,131.8569031,16.06888962,59.98805237,26.32860756,4.066882133,8,155.6908264,31.74242973,3520.691895,0.563415885,2951.000732,2941.000244,477.98703,793.9771118,784.9829102,3520.991211,2277.98999,1318.990479,1.003400326,3.434625626,0.243074566,0.506110549,1.386065483,0.988671958,0.646974087,0.579015017,0.797630191,0.45496583,0.635398209,-3588.900391,-0.064156793,0.753352165,4.485436916,14.06696796,0,4766.632813,0.002319924,3518.1875,0.343264103,-0.006019129,0.09794154,1.616339922,0.981066048,0.879422307,0.678900898,1.071710825,0.252322853,0.155828997,-3588.900391,-0.064156793,0.753352165,1.36918819,3481.625,4767,3523.791504,3548.818115,4192.206055,2846.092529,1774.280029,0.037742347,0.551338673,0.224013776,0.110587813,0.106009312,0.098957233,0.078556702,0.122014739,0.245514363,0.294562101,0.297409952,0.340497047,0.095221959,2.440850496,-0.148741409,0.171311095,1.584475279,0.793844938,0.657902241,0.493665248,1.256461978,0.542667568,0.625075817,0.151960969,-0.20634374,1.800195098,4.334411144,8,13,63,24,5.26,4.83,20,0,2.1,11.4,49,8.5,51.12837,14.78935
86,79,29,6940,231,-38,269,173,4,173,-6,606,71,34,24,204,111,204,126,135.1051331,95.3769455,49.00632858,673.6671753,2.759636879,559.7181396,373.5993347,107.9020386,141.0297546,152.770874,237.8823853,144.4147339,77.88859558,108.3452072,88.8300705,309,54.11639404,564,251.7671814,0.153698191,5,1012.419861,5.113073826,2,31.11980247,1.621507764,10.79204941,134.3294067,6.244753361,8.55596447,2.828658104,17.15351486,48.07963943,141.021347,1.528508782,8.185936928,571.8905029,174,-0.332145393,1.33E-07,1.474265099,4.232122898,39.54719543,0.95478332,0.173202187,0.615752697,0.000369166,1.570717216,7.14E-07,4,0.000614599,0.000320303,-107989.875,0.383672327,1.59E-07,0.36847049,0,0.016068975,0.684235215,-826135168,0.629722059,550756800,399002.6875,0.000175046,10.40410709,51.96277237,0.000301304,4.54578E+11,0.695218801,4.801346302,1.324646115,507992.375,259241.8281,139538.2344,335477.0313,527604.5,630941.9375,594034.625,539982.375,339896.0938,123.5756302,6.519447327,51.06100845,65.04699707,5.216576099,9.127168655,23.50150681,29.08565521,1956.740723,0.757401645,2930,2906,147.9976501,307.9956665,215.9972534,1956.992188,995.9733276,465.9842834,1.00825882,5.353960037,0.18681471,0.703038633,1.664036393,0.701299667,0.508930683,0.467868239,0.920792401,0.615364671,0.801198006,-3354.447021,-0.008115207,0.707406461,9.060264587,23.88480759,78.77264404,3934.301758,-0.029374503,3097.417236,0.270024776,-0.019167379,0.079961307,1.66180563,0.980316401,0.983900249,0.65222764,1.330711246,0.218237758,0.128739744,-3354.447021,-0.008115207,0.707406461,1.295525312,3037.142822,3934.695557,3155.846191,3098.125,3871.3479,2525,1514.583374,-0.022582799,0.534329236,0.099903084,0.042351164,0.095000088,0.073334672,0.051612869,0.071460836,0.162529066,0.192566529,0.189244434,0.213434026,0.075425193,1.910410881,-0.295930326,0.121005431,1.61928761,0.703799009,0.468074769,0.423922479,1.897244692,0.668155253,0.610537827,0.089563139,-0.36232841,2.271443844,4.135286808,5,3,8,90,4.05,3.27,27.9,0,1,12.4,28.7,5.8,51.38057,14.78707
86,80,29,6894,232,-38,270,173,6,173,-4,603,71,33,25,206,109,206,123,134.4256439,96.32199097,50.38868332,671.296814,2.679578781,561.4300537,377.2007141,100.9333954,143.1634521,153.0766296,236.5146332,140.8142395,78.29142761,108.6576462,88.15483093,309,54.03570557,444.1923218,242.1926575,6.36E-08,5,887.3991699,6,2,0,1.554606795,10.57174683,136.2159729,5.796150684,3.268144608,2.999941349,20,56.89194489,187.7207642,1.772912264,7.412014961,540.7132568,171,0.198916659,1.73E-07,1.570617676,12.3532877,36.34611893,2.088505745,0.256579608,0.577296197,0,1.570695162,5.28E-07,8,0.001006458,0.000335622,-326070.5938,0.430988908,1.75E-07,0.614065647,0,0.033569135,0.807032824,971923712,0.428019911,-404968224,747905.3125,0.000219856,4.194677353,93.14077759,0.000555577,98080538624,1.405080914,1.002976537,1.253501773,517652.75,271475.9063,151162.125,322490.9688,516638.2813,622080,592978.8125,545193.125,336774.9375,118.324379,15.96325302,57.67154312,45.62977219,6.27400732,7.003930569,194.5025482,33.07540512,2994.666992,0.755231023,2938,2921,287.9934082,488.9750366,333.9864197,2994.9375,1681.924438,738.9684448,1.005819917,5.124929428,0.073946141,0.700710416,1.71079576,0.683033705,0.561589181,0.43935889,0.963954687,0.604186714,0.799342752,-3423.318359,-0.041870061,0.720315099,8.967243195,20.00820351,61.46866989,4002.10376,-0.030233748,3159.693115,0.24052,-0.010089291,0.079479903,1.658022165,0.95897311,0.919625163,0.669011772,1.176926851,0.238213971,0.128005341,-3423.318359,-0.041870061,0.720315099,1.293591976,3094.083252,4002.481445,3157.153809,3226.45459,3680.782715,2462.487061,1487.76001,-0.00501734,0.617190897,0.177872196,0.078587204,0.096598409,0.080795638,0.054200985,0.091289796,0.209810033,0.2571024,0.258092791,0.286000758,0.079155825,2.539804459,-0.281151175,0.163690805,1.765447021,0.670840502,0.621929109,0.441818386,1.520828247,0.593109131,0.681359768,0.15591839,-0.233099505,2.153811932,5.276670933,14,7,28,64,3.85,3.44,32.2,0,1.9,28.8,58.7,5.9,51.25507,14.77384
84,78,29,6880,228,-39,267,170,3,170,-6,609,72,34,25,208,111,208,124,131.8658752,94.00405121,48.22802353,691.9524536,2.822564602,548.6213379,374.367218,105.4890289,149.8100891,154.9659271,248.5117035,140.2346649,79.84435272,106.5307236,90.72351074,308.7619324,87.97980499,280.1818237,251.3180237,0.004287912,4.984641552,1021,6,2,0,1.552361488,8.412642479,150.1723938,6.296778679,4.199544907,2.999882936,20,55.48658371,187.9365082,1.828038216,8.103325844,556.0528564,208,-0.030896503,2.91E-07,1.351937294,-4.416514397,35.54847717,1.141609311,-0.135406107,0.6304456,5.98E-06,1.570743203,1.01E-06,4,0.000647894,0.000317547,-1415633.875,0.483488888,3.36E-07,0.366026998,0,0.012514529,0.316986501,0,0.383942187,0,697291.1875,0.000399281,6.507369995,-74.94200897,0.000538989,1.95971E+12,0.829629183,14.02148533,1.136165023,514786.3438,270468.8125,149777.2344,318378,511314.9688,616147.125,586867.75,540441.125,330494.5625,129.2466125,14.43108368,62.06377411,39.02369308,3.910399675,7.117349625,202.8670807,31.67773438,3238.654053,0.521878958,2939.999268,2925,454,838.9959717,809.9942017,3238.929443,1866.021851,1066.06958,1.005127907,2.860482693,0.281642288,0.468552262,1.364947438,0.965432763,0.576123059,0.57130605,0.741651952,0.50473398,0.59989655,-4042.398926,-0.066113457,0.725235343,3.998707056,12,0,4638.89209,-0.035191946,3573.379883,0.306597829,0.00915371,0.076708272,1.580691576,1.018790245,0.875972927,0.683965564,0.886291146,0.250682652,0.123767562,-4042.398926,-0.066113457,0.725235343,1.282499313,3617.357178,4639.258301,3551.733398,3550.639893,4063.864746,2779.543457,1716,0.085593045,0.468202353,0.194151238,0.118829466,0.11720331,0.115200803,0.101106182,0.146955267,0.278554678,0.324802518,0.31341511,0.35230425,0.111400634,2.058175325,-0.073735356,0.157494992,1.476696372,0.877651691,0.551089704,0.612045884,1.145671248,0.53029418,0.554019094,0.10964942,-0.289416075,1.601851463,3.484497547,17,7,25,68,6.06,5.62,13.7,0,1.4,63.1,155.5,6.3,51.24061,14.68621
87,78,28,7093,234,-40,274,176,4,176,-7,593,71,34,24,201,109,201,123,135.9934998,94.58354187,47.60031509,655.1204834,2.767687082,559.748291,366.4669189,87.10305023,142.9152832,146.2311249,223.7518158,144.8524933,76.8786087,108.2432709,88.97571564,309,28.49928856,149,194.9750061,1,5,1014.7724,6,2,0,1.558500051,15.00937462,106.6500015,4.719389439,1.654376388,2.057291269,20,52.08542252,96.06126404,1.340000033,7.199999809,488.1116638,146,0.52532196,1.66E-07,1.272037983,10.03361988,38.69556808,0.727030993,0.14246428,0.662101567,1.41E-05,1.570739865,2.45E-05,128,0.000297078,0.000319527,-3701069.5,0.374747127,2.02E-07,0.952513218,0,0.019178215,0.023743387,688445952,0.49825114,-2065337984,262382.5313,0.000197334,0.10069745,-198.942276,0.000190561,2.02018E+12,0.61875689,4.140376091,1.315867424,483073.375,231743.5625,112760.4219,356489.2188,542459.0625,640407.75,586925.5,521659.0938,337611.4063,120.8511887,5.690123081,46.89550781,77.8171463,7.778971195,11,284.2855225,28.57802963,1976.865479,0.664798081,2947.000488,2926.004395,216.0674744,379.0826721,319.1257324,1977.152832,1207.616211,621.3632813,1.007175684,4.215624332,0.192562699,0.604225218,1.502150536,0.841836751,0.610785484,0.514537036,0.87883544,0.521761954,0.722049654,-3394.973145,-0.017037416,0.69652313,6.195529461,24,68.90227509,3739.710693,-0.046294875,3041.986572,0.228258371,-0.021967907,0.070535176,1.665068746,0.976323426,0.966495991,0.663032234,1.475696564,0.218913019,0.114277884,-3394.973145,-0.017037416,0.69652313,1.2580446,2972.947266,3740.100098,3106.5,3045.043457,3614.791748,2396.723389,1452.642822,-0.068298995,0.480948448,0.118317559,0.055821616,0.098396599,0.077203177,0.057355057,0.079417646,0.156582832,0.184062317,0.17884621,0.206293732,0.079439335,1.672088623,-0.263506293,0.110821925,1.616649985,0.742910564,0.573539257,0.471794873,1.932243228,0.603148043,0.564913213,0.068641588,-0.271020055,1.822758436,3.596783638,9,4,12,84,4.9,4.29,20.3,1,0.8,0,22.2,3.3,51.61954,14.66737
81,77,28,6834,224,-42,266,167,1,167,-9,612,74,34,25,212,110,212,122,127.6929321,90.93872833,46.06702805,729.4367065,3.181489468,534.4830933,373.6141052,101.1922913,159.9233551,162.5520172,253.3708496,155.846756,81.92087555,104.1204987,93.04673767,308,128.7249756,302,345.4419861,1,5,3212,6,2,0,1.627317071,4.297999859,199.1179962,41.61936569,31.07422447,1,20,68.95159912,222.1813812,1.74000001,10,606.1948242,272,-0.308564484,8.77E-07,1.569972754,-1.850334287,37.02664185,1.720812082,-0.053127814,0.572716117,0,1.57071197,4.31E-06,128,0.003221959,0.000338498,-1089983.5,0.771811008,8.78E-07,0.408078134,0,0.557279944,0.295960933,0,0.725520253,-1376891904,604761.875,0.000575949,15.26207638,-65.34063721,0.000404242,7.64948E+11,1.1849792,36.30579758,1.336223602,520504.1875,279454.0625,158421.1563,305769.4375,499470.7188,605537.6875,582254.1875,541569.1875,324345.4688,121.4429626,17.62525177,59.43880081,26.97613907,4,7.999995708,245.6966248,31.94339752,3449.313965,0.503318608,2932.999268,2914.005371,442.9962158,845.9067383,905.8574829,3449.572266,1819.959839,1092.050049,1.006518126,3.077958107,0.343151569,0.452245742,1.250394344,1.070871592,0.527589977,0.600040734,0.698120177,0.519096434,0.584033012,-3374.675781,-0.078711629,0.76684171,3.808073997,12,0,4832.683594,0.020340838,3466.327637,0.385601521,-0.010231585,0.10835658,1.616377354,0.980457664,0.85406363,0.698362052,1.11097157,0.252789468,0.171231478,-3374.675781,-0.078711629,0.76684171,1.413219094,3419.883057,4833.043945,3490.588135,3488.047607,4127.727051,2882.647949,1842.205933,0.057385415,0.493395329,0.188393503,0.112781361,0.113851778,0.104791991,0.08907868,0.126436725,0.24988839,0.299612463,0.300196469,0.330659807,0.103083462,2.155391932,-0.122076795,0.156419009,1.51747787,0.850052357,0.569750249,0.598647833,1.246382475,0.528677106,0.575551569,0.11687097,-0.274088025,1.638064742,3.711997271,20,12,57,31,6.41,6.04,11.5,0,1.2,24.6,143,8.2,51.13529,14.61818
87,79,29,6916,233,-36,269,174,7,174,-3,591,71,33,25,203,107,203,120,137.0410767,97.04692841,51,663.8555298,2.583212137,565.3837891,374.502594,88.125,143.3738708,150.0106049,231.4429779,140.8055878,77.43862915,109.5406418,87.22849274,309,34.43985748,191.9824982,279.0092468,1,5,1011,2,2,162.5249329,1.225075364,20.20728111,150.0693359,4.068652153,0.521823764,2.242261171,7.495177269,47.86798859,116.703331,1.360000014,7.495177269,706.2678223,148,-0.598460078,2.45E-07,1.505761266,-4.223680973,37.34009552,1.181231976,-0.05864466,0.590501785,0,1.570737481,2.35E-07,4,0.001024114,0.000322253,5007453,0.489467055,2.57E-07,0.708653271,0,0.11046771,0.854326606,0,0.406758547,0,742129.875,0.000332966,2.218625546,96.39637756,0.000538989,4.93073E+12,0.840053916,0.378303379,1.232667923,504885.5,260616.9219,139849.125,323717.0938,513912.5938,616581.375,581411.5,531806.3125,326334.7813,104.0112076,4.366172314,49.95290375,78.19663239,8.536846161,10.99994755,216,34.30449295,1909.686646,0.740470648,2922.996582,2908.000488,155.9965515,324.9556885,227.977005,1909.912476,843.9553833,399.964325,1.005156875,4.877455235,0.187462002,0.684253931,1.634802938,0.701563358,0.441881716,0.473916441,0.913116217,0.653692722,0.786727071,-3174.213867,-0.018761329,0.718100846,8.377654076,24,78.67507172,3813.675781,-0.02304288,2994.685791,0.258114576,-0.021378243,0.083518758,1.670268297,0.960486233,0.963168383,0.653186977,1.388286352,0.227658346,0.134151384,-3174.213867,-0.018761329,0.718100846,1.309872627,2911.782715,3814.064453,3039,3031.571533,3673.586182,2399.538574,1440.824219,-0.034806177,0.522383153,0.098788008,0.045095943,0.09419886,0.074196376,0.051395305,0.073695391,0.157996535,0.187203482,0.18699035,0.205791771,0.07532154,1.7736094,-0.293992251,0.11616265,1.66277504,0.692692935,0.480038673,0.456492066,1.964132786,0.648972213,0.600327492,0.082443044,-0.351316035,2.13275075,4.004096508,12,5,7,88,4.94,4.4,10.4,1,0.7,0,24.8,1,51.3158,14.60764
